File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
24-001878,06/21/2024,2024,6,100 Block,West Mumford Drive,,,Unfounded,06/24/2024,Internet,true,0,"100 West Mumford Drive
Urbana, IL
(40.09413, -88.20849)"
23-003307,11/04/2023,2023,11,300 Block,North Coler Avenue,,,Unfounded,11/06/2023,Internet,true,0,"300 North Coler Avenue
Urbana, IL
(40.11425, -88.21578)"
23-001241,05/11/2023,2023,5,900 Block,South Rainbow View,05/11/2023,Weeds/Grass,Voluntarily Complied,08/30/2023,Phone,false,0,"900 South Rainbow View
Urbana, IL
(40.10555, -88.18474)"
22-002313,07/20/2022,2022,7,1200 Block,"""block E Willard (dead end)""",,,Unfounded,07/20/2022,Internet,true,0,
22-001582,06/01/2022,2022,6,700 Block,North Broadway Avenue,06/01/2022,Weeds/Grass,City Abated,10/04/2022,Phone,false,324.5,"700 North Broadway Avenue
Urbana, IL
(40.119, -88.20758)"
22-000450,03/05/2022,2022,3,600 Block,South Anderson Street,,,City Abated,03/07/2022,Internet,true,0,"600 South Anderson Street
Urbana, IL
(40.1084, -88.20024)"
,02/02/2022,2022,2,900 Block,South Lynn Street,,,,,Internet,true,0,"900 South Lynn Street
Urbana, IL
(40.10554, -88.19788)"
22-000180,01/31/2022,2022,1,1000 Block,North Berkley Avenue,01/31/2022,Municipal Waste,City Abated,05/10/2022,Phone,false,948,"1000 North Berkley Avenue
Urbana, IL
(40.12208, -88.20645)"
21-000772,04/18/2021,2021,4,1000 Block,East Washington Street,,,,,Internet,true,0,"1000 East Washington Street
Urbana, IL
(40.10568, -88.19643)"
20-000640,04/30/2020,2020,4,1200 Block,South Smith Road,04/30/2020,Weeds/Grass,Voluntarily Complied,05/15/2020,Phone,false,0,
19-001194,06/14/2019,2019,6,700 Block,East Green Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,false,0,"700 East Green Street
Urbana, IL
(40.11087, -88.20012)"
19-001136,06/09/2019,2019,6,900 Block,East Scovill Street,,,Unfounded,06/13/2019,Internet,true,0,"900 East Scovill Street
Urbana, IL
(40.08541, -88.19753)"
19-000930,05/16/2019,2019,5,2100 Block,Burlison Dr,,,City Abated,05/17/2019,Internet,true,0,"2100 Burlison Dr
Urbana, IL
(40.09084, -88.20544)"
1606056,06/16/2016,2016,6,100 BLOCK,E George Huff Dr,,Weeds/Grass,,,Not Available,false,0,"100 E George Huff Dr
Urbana, IL
(40.09094, -88.20686)"
1507021,07/17/2015,2015,7,800 BLOCK,E Main St,07/17/2015,Weeds/Grass,Owner Abated,07/25/2015,Not Available,false,0,"800 E Main St
Urbana, IL
(40.11298, -88.19903)"
1506019,06/05/2015,2015,6,0 BLOCK,Squire Ct.,06/05/2015,Weeds/Grass,City Abated,06/13/2015,Not Available,false,0,
1408013,08/07/2014,2014,8,0 BLOCK,Squire Ct.,08/07/2014,Weeds/Grass,City Abated,08/15/2014,Not Available,false,0,
1108015,08/04/2011,2011,8,0 BLOCK,Buena Vista Ct,08/05/2011,Municipal Waste,Owner Abated,08/13/2011,Not Available,false,0,
1106048,06/15/2011,2011,6,0 BLOCK,Weaver Pl,06/16/2011,Weeds/Grass,City Abated,06/24/2011,Not Available,false,0,
1106004,06/01/2011,2011,6,0 BLOCK,Shuman Cir,06/02/2011,Municipal Waste,Owner Abated,06/10/2011,Not Available,false,0,
1010001,10/01/2010,2010,10,600 BLOCK,W High St,10/01/2010,Municipal Waste,Owner Abated,10/09/2010,Not Available,false,0,"600 W High St
Urbana, IL
(40.10985, -88.21471)"
1006069,06/11/2010,2010,6,800 BLOCK,S Vine St,,Weeds/Grass,Invalid,,Not Available,false,0,"800 S Vine St
Urbana, IL
(40.10646, -88.20496)"
908012,08/05/2009,2009,8,1200 BLOCK,W Eads St,08/06/2009,Weeds/Grass,City Abated,08/14/2009,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.12313, -88.22435)"
906025,06/09/2009,2009,6,3000 BLOCK,E Windsor Rd,,Weeds/Grass,Invalid,,Not Available,false,0,"3000 E Windsor Rd
Urbana, IL
(40.0839, -88.17298)"
706044,06/15/2007,2007,6,600 BLOCK,S Busey Av,06/15/2007,Weeds/Grass,Owner Abated,06/23/2007,Not Available,false,0,"600 S Busey Av
Urbana, IL
(40.10814, -88.21769)"
706005,06/04/2007,2007,6,0 BLOCK,Shuman Cir,,Weeds/Grass,Invalid,,Not Available,false,0,
703003,03/05/2007,2007,3,800 BLOCK,W Iowa St,,Municipal Waste,Invalid,,Not Available,false,0,"800 W Iowa St
Urbana, IL
(40.10466, -88.21781)"
605119,05/22/2006,2006,5,0 BLOCK,Penn Ct,,Municipal Waste,Owner Abated,,Not Available,false,0,
509015,09/06/2005,2005,9,0 BLOCK,Florida Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,
508112,08/26/2005,2005,8,0 BLOCK,Rainbow View Ct,,Weeds/Grass,Owner Abated,,Not Available,false,0,
507035,07/20/2005,2005,7,1500 BLOCK,Harvey St,,Municipal Waste,Invalid,,Not Available,false,0,
408042,08/10/2004,2004,8,0 BLOCK,Hill St Ct,,Weeds/Grass,Owner Abated,,Not Available,false,0,
310020,10/09/2003,2003,10,0 BLOCK,Squire Ct.,,Municipal Waste,Owner Abated,,Not Available,false,0,
22-001242,05/16/2022,2022,5,700 Block,East Elm Street,05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,false,0,"700 East Elm Street
Urbana, IL
(40.11179, -88.20033)"
1005021,05/05/2010,2010,5,1500 BLOCK,S Smith Rd,05/06/2010,Weeds/Grass,Owner Abated,05/14/2010,Not Available,false,0,"1500 S Smith Rd
Urbana, IL
(40.09996, -88.17604)"
24-000903,04/10/2024,2024,4,900 Block,South Rainbow View,04/10/2024,Weeds/Grass,Voluntarily Complied,04/18/2024,Phone,false,0,"900 South Rainbow View
Urbana, IL
(40.10555, -88.18474)"
23-002866,09/25/2023,2023,9,1400 Block,East Silver Street,09/25/2023,Municipal Waste,Voluntarily Complied,10/04/2023,Phone,false,0,"1400 East Silver Street
Urbana, IL
(40.09149, -88.1916)"
24-003034,09/26/2024,2024,9,100 Block,North Webber Street,09/26/2024,Weeds/Grass,Voluntarily Complied,10/07/2024,Phone,false,0,"100 North Webber Street
Urbana, IL
(40.11312, -88.19921)"
606003,06/01/2006,2006,6,900 BLOCK,N Gregory St,,Municipal Waste,Owner Abated,,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12019, -88.22108)"
1605038,05/09/2016,2016,5,1000 BLOCK,E Washington St,05/09/2016,Weeds/Grass,Owner Abated,05/17/2016,Not Available,false,0,"1000 E Washington St
Urbana, IL
(40.10568, -88.19643)"
1505097,05/26/2015,2015,5,1300 BLOCK,N Berkley Av,05/26/2015,Weeds/Grass,Owner Abated,06/03/2015,Not Available,false,0,"1300 N Berkley Av
Urbana, IL
(40.12494, -88.2065)"
1204020,04/12/2012,2012,4,300 BLOCK,N Coler Av,04/13/2012,Weeds/Grass,Owner Abated,04/21/2012,Not Available,false,0,"300 N Coler Av
Urbana, IL
(40.11425, -88.21578)"
1507051,07/27/2015,2015,7,200 BLOCK,S Cottage Grove Av,07/27/2015,Weeds/Grass,Owner Abated,08/04/2015,Not Available,false,0,"200 S Cottage Grove Av
Urbana, IL
(40.1113, -88.19575)"
709013,09/06/2007,2007,9,1100 BLOCK,S Austin Dr,09/07/2007,Weeds/Grass,Owner Abated,09/15/2007,Not Available,false,0,"1100 S Austin Dr
Urbana, IL
(40.10368, -88.18752)"
411015,11/16/2004,2004,11,1700 BLOCK,S Philo Rd,,Municipal Waste,City Abated,,Not Available,false,0,"1700 S Philo Rd
Urbana, IL
(40.09827, -88.1907)"
305073,05/14/2003,2003,5,1400 BLOCK,S Lincoln Av,,Municipal Waste,City Abated,,Not Available,false,0,"1400 S Lincoln Av
Urbana, IL
(40.10051, -88.21913)"
22-001191,05/12/2022,2022,5,400 Block,East High Street,05/12/2022,Weeds/Grass,Voluntarily Complied,05/23/2022,Phone,false,0,"400 East High Street
Urbana, IL
(40.11, -88.20331)"
1010057,10/27/2010,2010,10,800 BLOCK,W Oregon St,10/28/2010,Municipal Waste,Owner Abated,11/05/2010,Not Available,false,0,"800 W Oregon St
Urbana, IL
(40.10743, -88.21786)"
20-001784,09/08/2020,2020,9,1400 Block,West Springfield Avenue,09/08/2020,Weeds/Grass,Voluntarily Complied,09/16/2020,Phone,false,0,"1400 West Springfield Avenue
Urbana, IL
(40.11274, -88.22711)"
1005083,05/19/2010,2010,5,100 BLOCK,E Willard St,05/20/2010,Weeds/Grass,Owner Abated,05/28/2010,Not Available,false,0,"100 E Willard St
Urbana, IL
(40.08439, -88.20722)"
1604002,04/06/2016,2016,4,2500 BLOCK,S Scovill Cr,04/06/2016,Weeds/Grass,Owner Abated,04/14/2016,Not Available,false,0,"2500 S Scovill Cr
Urbana, IL
(40.08527, -88.20055)"
23-001287,05/15/2023,2023,5,900 Block,East Washington Street,05/15/2023,Weeds/Grass,Voluntarily Complied,05/23/2023,Phone,false,0,"900 East Washington Street
Urbana, IL
(40.10567, -88.1915)"
410022,10/20/2004,2004,10,0 BLOCK,Squire Ct,,Municipal Waste,Owner Abated,,Not Available,false,0,
22-003282,10/18/2022,2022,10,300 Block,West Elm Street,10/18/2022,Municipal Waste,Voluntarily Complied,10/26/2022,Phone,false,0,"300 West Elm Street
Urbana, IL
(40.11157, -88.21036)"
1510019,10/20/2015,2015,10,1400 BLOCK,W Beech St,10/20/2015,Weeds/Grass,Owner Abated,10/28/2015,Not Available,false,0,"1400 W Beech St
Urbana, IL
(40.12217, -88.22734)"
23-002371,08/15/2023,2023,8,2700 Block,East Castlerock Drive,08/15/2023,Weeds/Grass,Voluntarily Complied,08/23/2023,Phone,false,0,"2700 East Castlerock Drive
Urbana, IL
(40.09178, -88.17155)"
708073,08/22/2007,2007,8,900 BLOCK,S Lincoln Av,08/23/2007,Municipal Waste,Owner Abated,08/31/2007,Not Available,false,0,"900 S Lincoln Av
Urbana, IL
(40.10539, -88.21924)"
21-001040,05/20/2021,2021,5,100 Block,"East ""Crystal Lake"" Drive",05/20/2021,Weeds/Grass,Voluntarily Complied,05/28/2021,Phone,false,0,"100 East Crystal Lake Drive
Urbana, IL
(40.11886, -88.20739)"
1205031,05/04/2012,2012,5,100 BLOCK,E Pennsylvania Av,05/04/2012,Weeds/Grass,Owner Abated,05/12/2012,Not Available,false,0,"100 E Pennsylvania Av
Urbana, IL
(40.10075, -88.20698)"
708054,08/15/2007,2007,8,700 BLOCK,E Shurts St,08/16/2007,Municipal Waste,City Abated,08/24/2007,Not Available,false,0,"700 E Shurts St
Urbana, IL
(40.08622, -88.19923)"
904017,04/15/2009,2009,4,1100 BLOCK,S Lanore Dr,04/15/2009,Weeds/Grass,Owner Abated,04/23/2009,Not Available,false,0,"1100 S Lanore Dr
Urbana, IL
(40.10369, -88.18659)"
21-001758,08/04/2021,2021,8,200 Block,North Coler Avenue,08/04/2021,Weeds/Grass,Voluntarily Complied,08/12/2021,Phone,false,0,"200 North Coler Avenue
Urbana, IL
(40.11329, -88.21597)"
304009,04/15/2003,2003,4,1500 BLOCK,N Romine,,Municipal Waste,Owner Abated,,Not Available,false,0,"1500 N Romine
Urbana, IL
(40.12644, -88.22763)"
1408091,08/25/2014,2014,8,500 BLOCK,S Race St,08/25/2014,Municipal Waste,Owner Abated,09/02/2014,Not Available,false,0,"500 S Race St
Urbana, IL
(40.10908, -88.20886)"
19-000968,05/22/2019,2019,5,900 Block,East Burkwood Drive,05/22/2019,Weeds/Grass,Voluntarily Complied,05/30/2019,Phone,false,0,"900 East Burkwood Drive
Urbana, IL
(40.0968, -88.19691)"
605053,05/09/2006,2006,5,1200 BLOCK,W Dublin St,,Weeds/Grass,City Abated,,Not Available,false,0,"1200 W Dublin St
Urbana, IL
(40.12126, -88.22432)"
18-000949,09/04/2018,2018,9,400 Block,West Springfield Avenue,09/04/2018,Weeds/Grass,City Abated,10/31/2018,Phone,false,0,"400 West Springfield Avenue
Urbana, IL
(40.11239, -88.21198)"
23-000295,02/08/2023,2023,2,1400 Block,East Stout Drive,02/08/2023,Municipal Waste,Voluntarily Complied,02/20/2023,Phone,false,0,"1400 East Stout Drive
Urbana, IL
(40.11058, -88.19195)"
1005004,05/03/2010,2010,5,100 BLOCK,E George Huff Dr,05/04/2010,Weeds/Grass,Owner Abated,05/12/2010,Not Available,false,0,"100 E George Huff Dr
Urbana, IL
(40.09094, -88.20686)"
23-000978,04/24/2023,2023,4,1000 Block,West Hill Street,04/24/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,Phone,false,0,"1000 West Hill Street
Urbana, IL
(40.1192, -88.22122)"
18-000928,08/29/2018,2018,8,400 Block,South Dodson Drive,08/29/2018,Municipal Waste,Voluntarily Complied,09/12/2018,Phone,false,0,"400 South Dodson Drive
Urbana, IL
(40.10856, -88.17622)"
21-002385,10/07/2021,2021,10,500 Block,West Indiana Avenue,,,Unfounded,10/08/2021,Internet,true,0,"500 West Indiana Avenue
Urbana, IL
(40.10284, -88.21339)"
906058,06/25/2009,2009,6,1300 BLOCK,Greenridge Dr,,Municipal Waste,Invalid,,Not Available,false,0,"1300 Greenridge Dr
Urbana, IL
(40.10307, -88.17733)"
808070,08/26/2008,2008,8,2200 BLOCK,Country Squire Dr,08/27/2008,Weeds/Grass,Owner Abated,09/04/2008,Not Available,false,0,"2200 Country Squire Dr
Urbana, IL
(40.10275, -88.17898)"
23-003272,10/31/2023,2023,10,1000 Block,South Smith Road,10/31/2023,Municipal Waste,Voluntarily Complied,12/05/2023,Phone,false,0,"1000 South Smith Road
Urbana, IL
(40.1046, -88.17634)"
1204029,04/16/2012,2012,4,0 BLOCK,Shuman Cir,04/16/2012,Weeds/Grass,Owner Abated,04/24/2012,Not Available,false,0,
907025,07/14/2009,2009,7,700 BLOCK,W Illinois St,07/15/2009,Weeds/Grass,Owner Abated,07/23/2009,Not Available,false,0,"700 W Illinois St
Urbana, IL
(40.10914, -88.21629)"
18-000125,02/26/2018,2018,2,1500 Block,S Philo Road,02/26/2018,Weeds/Grass,Voluntarily Complied,03/12/2018,Phone,false,0,"1500 S Philo Road
Urbana, IL
(40.09991, -88.19073)"
1106052,06/17/2011,2011,6,1100 BLOCK,E Delaware Av,06/17/2011,Weeds/Grass,Owner Abated,06/25/2011,Not Available,false,0,"1100 E Delaware Av
Urbana, IL
(40.09922, -88.19537)"
304022,04/28/2003,2003,4,1000 BLOCK,N Geraldine Av,,Weeds/Grass,City Abated,,Not Available,false,0,"1000 N Geraldine Av
Urbana, IL
(40.12211, -88.2028)"
18-000550,05/21/2018,2018,5,400 Block,High,06/13/2018,Weeds/Grass,City Abated,10/31/2018,Phone,false,243.5,"400 High
Urbana, IL
(40.11, -88.20331)"
19-000783,05/06/2019,2019,5,700 Block,South Wabash Avenue,05/06/2019,Weeds/Grass,City Abated,06/03/2019,City Staff Reported,false,227,"700 South Wabash Avenue
Urbana, IL
(40.10759, -88.19665)"
22-002524,08/08/2022,2022,8,400 Block,"South ""Cottage Grove"" Avenue",08/08/2022,Weeds/Grass,Voluntarily Complied,12/01/2022,Phone,false,0,"400 South Cottage Grove Avenue
Urbana, IL
(40.10962, -88.19572)"
1604021,04/25/2016,2016,4,800 BLOCK,E Burkwood Dr,04/25/2016,Weeds/Grass,Owner Abated,05/03/2016,Not Available,false,0,"800 E Burkwood Dr
Urbana, IL
(40.09677, -88.19744)"
506070,06/17/2005,2005,6,1000 BLOCK,E Oregon St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1000 E Oregon St
Urbana, IL
(40.10773, -88.1968)"
23-001307,05/15/2023,2023,5,1400 Block,West Hill Street,05/15/2023,Weeds/Grass,Voluntarily Complied,05/23/2023,Phone,false,0,"1400 West Hill Street
Urbana, IL
(40.11932, -88.22733)"
608068,08/23/2006,2006,8,700 BLOCK,W High St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"700 W High St
Urbana, IL
(40.10983, -88.21617)"
22-002973,09/15/2022,2022,9,100 Block,"South ""Cottage Grove"" Avenue",09/15/2022,Weeds/Grass,Voluntarily Complied,09/23/2022,Phone,false,0,"100 South Cottage Grove Avenue
Urbana, IL
(40.11283, -88.19577)"
22-001365,05/19/2022,2022,5,1300 Block,South Vine Street,05/19/2022,Weeds/Grass,Voluntarily Complied,05/31/2022,Phone,false,0,"1300 South Vine Street
Urbana, IL
(40.102, -88.20496)"
1304006,04/08/2013,2013,4,600 BLOCK,W Ohio St,04/08/2013,Municipal Waste,Owner Abated,04/16/2013,Not Available,false,0,"600 W Ohio St
Urbana, IL
(40.10373, -88.21458)"
1601007,01/11/2016,2016,1,100 BLOCK,S Grove St,01/11/2016,Municipal Waste,Owner Abated,01/19/2016,Not Available,false,0,"100 S Grove St
Urbana, IL
(40.11275, -88.20148)"
902041,02/24/2009,2009,2,600 BLOCK,W Stoughton St,02/25/2009,Weeds/Grass,Owner Abated,03/05/2009,Not Available,false,0,"600 W Stoughton St
Urbana, IL
(40.11303, -88.21516)"
19-000828,05/09/2019,2019,5,1200 Block,North Busey Avenue,,Weeds/Grass,Voluntarily Complied,05/17/2019,Phone,false,0,"1200 North Busey Avenue
Urbana, IL
(40.12345, -88.217)"
23-001222,05/10/2023,2023,5,1300 Block,North Berkley Avenue,05/10/2023,Weeds/Grass,Voluntarily Complied,05/18/2023,Phone,false,0,"1300 North Berkley Avenue
Urbana, IL
(40.12494, -88.2065)"
1202003,02/07/2012,2012,2,600 BLOCK,W Washington St,02/07/2012,Weeds/Grass,Owner Abated,02/15/2012,Not Available,false,0,"600 W Washington St
Urbana, IL
(40.10555, -88.21458)"
608031,08/08/2006,2006,8,1600 BLOCK,Bermuda Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1600 Bermuda Dr
Urbana, IL
(40.09925, -88.17933)"
1605044,05/10/2016,2016,5,800 BLOCK,E Burkwood Dr,05/10/2016,Weeds/Grass,City Abated,05/18/2016,Not Available,false,0,"800 E Burkwood Dr
Urbana, IL
(40.09677, -88.19744)"
1404022,04/29/2014,2014,4,2000 BLOCK,S Vawter St,04/29/2014,Municipal Waste,Owner Abated,05/07/2014,Not Available,false,0,"2000 S Vawter St
Urbana, IL
(40.09291, -88.19183)"
24-000999,04/19/2024,2024,4,400 Block,South Poplar Street,,,Referred to other department,04/19/2024,Internet,true,0,"400 South Poplar Street
Urbana, IL
(40.10965, -88.19448)"
1008079,08/30/2010,2010,8,0 BLOCK,S Glover Av,08/30/2010,Weeds/Grass,Owner Abated,08/30/2010,Not Available,false,0,
19-000956,05/20/2019,2019,5,1100 Block,East Mitchem Drive,05/20/2019,Weeds/Grass,City Abated,06/03/2019,Phone,false,246.5,"1100 East Mitchem Drive
Urbana, IL
(40.09237, -88.19541)"
1608048,08/22/2016,2016,8,800 BLOCK,E California Av,08/22/2016,Weeds/Grass,Owner Abated,08/30/2016,Not Available,false,0,"800 E California Av
Urbana, IL
(40.10854, -88.19889)"
702006,02/09/2007,2007,2,100 BLOCK,S Dodson,02/09/2007,Municipal Waste,Owner Abated,02/12/2007,Not Available,false,0,"100 S Dodson
Urbana, IL
(40.11284, -88.17583)"
1404001,04/03/2014,2014,4,900 BLOCK,E Fairlawn Dr,04/03/2014,Municipal Waste,Owner Abated,04/11/2014,Not Available,false,0,"900 E Fairlawn Dr
Urbana, IL
(40.10296, -88.19814)"
808011,08/05/2008,2008,8,600 BLOCK,E California Av,08/06/2008,Weeds/Grass,Owner Abated,08/14/2008,Not Available,false,0,"600 E California Av
Urbana, IL
(40.10853, -88.20114)"
1509021,09/14/2015,2015,9,2300 BLOCK,Rainbow View Dr,09/14/2015,Weeds/Grass,Owner Abated,09/22/2015,Not Available,false,0,"2300 Rainbow View Dr
Urbana, IL
(40.10401, -88.17677)"
1209039,09/17/2012,2012,9,300 BLOCK,S Grove St,09/18/2012,Municipal Waste,City Abated,09/26/2012,Not Available,false,0,"300 S Grove St
Urbana, IL
(40.11071, -88.20138)"
21-001822,08/11/2021,2021,8,1600 Block,East Ivanhoe Way,08/11/2021,Weeds/Grass,City Abated,01/04/2022,Phone,false,216.5,"1600 East Ivanhoe Way
Urbana, IL
(40.10221, -88.18862)"
18-036254,10/30/2018,2018,10,1200 Block,East Green Street,10/30/2018,Weeds/Grass,Voluntarily Complied,11/08/2018,Phone,false,0,"1200 East Green Street
Urbana, IL
(40.11095, -88.19431)"
1408002,08/04/2014,2014,8,700 BLOCK,W Stoughton St,08/04/2014,Weeds/Grass,Owner Abated,08/12/2014,Not Available,false,0,"700 W Stoughton St
Urbana, IL
(40.11318, -88.21617)"
23-002381,08/16/2023,2023,8,1400 Block,East Briarcliff Drive,08/16/2023,Weeds/Grass,Voluntarily Complied,08/24/2023,,false,0,"1400 East Briarcliff Drive
Urbana, IL
(40.10005, -88.19109)"
1503021,03/30/2015,2015,3,2000 BLOCK,E Michigan Av,03/31/2015,Municipal Waste,Owner Abated,04/08/2015,Not Available,false,0,"2000 E Michigan Av
Urbana, IL
(40.10177, -88.18202)"
302035,02/13/2003,2003,2,700 BLOCK,W Ohio St,,Municipal Waste,Owner Abated,,Not Available,false,0,"700 W Ohio St
Urbana, IL
(40.10371, -88.21712)"
23-001081,05/02/2023,2023,5,1200 Block,North Coler Avenue,,,Addressed under different complaint file,05/08/2023,Internet,true,0,"1200 North Coler Avenue
Urbana, IL
(40.12291, -88.21577)"
302006,02/04/2003,2003,2,600 BLOCK,W Nevada,,Municipal Waste,Owner Abated,,Not Available,false,0,"600 W Nevada
Urbana, IL
(40.10653, -88.21554)"
1205055,05/09/2012,2012,5,600 BLOCK,E Main St,05/09/2012,Weeds/Grass,Owner Abated,05/17/2012,Not Available,false,0,"600 E Main St
Urbana, IL
(40.11286, -88.20171)"
301011,01/09/2003,2003,1,2000 BLOCK,A E Florida Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"2000 A E Florida Av
Urbana, IL
(40.09882, -88.18247)"
1006099,06/18/2010,2010,6,300 BLOCK,S Glover Av,06/18/2010,Weeds/Grass,Owner Abated,06/26/2010,Not Available,false,0,"300 S Glover Av
Urbana, IL
(40.11082, -88.19338)"
408016,08/04/2004,2004,8,1500 BLOCK,N Romine St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1500 N Romine St
Urbana, IL
(40.12644, -88.22763)"
24-001702,06/06/2024,2024,6,600 Block,South Coler Avenue,06/06/2024,Weeds/Grass,Voluntarily Complied,06/14/2024,Phone,false,0,"600 South Coler Avenue
Urbana, IL
(40.10816, -88.21599)"
1609025,09/01/2016,2016,9,900 BLOCK,N Linview Av,09/01/2016,Weeds/Grass,City Abated,09/01/2016,Not Available,false,0,"900 N Linview Av
Urbana, IL
(40.12022, -88.21814)"
901001,01/02/2009,2009,1,700 BLOCK,W California Av,01/02/2009,Municipal Waste,City Abated,01/10/2009,Not Available,false,0,"700 W California Av
Urbana, IL
(40.1083, -88.21617)"
21-001258,06/09/2021,2021,6,700 Block,South Busey Avenue,06/09/2021,Weeds/Grass,City Abated,09/28/2021,Phone,false,216.5,"700 South Busey Avenue
Urbana, IL
(40.10729, -88.21768)"
309052,09/18/2003,2003,9,200 BLOCK,N Broadway Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 N Broadway Av
Urbana, IL
(40.11357, -88.20747)"
1705050,05/16/2017,2017,5,400 BLOCK,W Illinois St,05/16/2017,Weeds/Grass,Owner Abated,05/24/2017,Not Available,false,0,"400 W Illinois St
Urbana, IL
(40.10918, -88.21191)"
24-002655,08/25/2024,2024,8,700 Block,South Walnut Street,,,Addressed under different complaint file,08/26/2024,Internet,true,0,"700 South Walnut Street
Urbana, IL
(40.10749, -88.20618)"
308015,08/06/2003,2003,8,400 BLOCK,S Johnson,,Weeds/Grass,Owner Abated,,Not Available,false,0,"400 S Johnson
Urbana, IL
(40.10962, -88.19683)"
1305153,05/28/2013,2013,5,200 BLOCK,E Kerr Av,05/28/2013,Weeds/Grass,Owner Abated,06/05/2013,Not Available,false,0,"200 E Kerr Av
Urbana, IL
(40.12195, -88.20627)"
309038,09/15/2003,2003,9,1000 BLOCK,N Division Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 N Division Av
Urbana, IL
(40.12212, -88.2053)"
1405030,05/14/2014,2014,5,400 BLOCK,W Green St,05/14/2014,Weeds/Grass,Owner Abated,05/22/2014,Not Available,false,0,"400 W Green St
Urbana, IL
(40.11071, -88.21196)"
408018,08/04/2004,2004,8,1000 BLOCK,S Lincoln Ave,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 S Lincoln Ave
Urbana, IL
(40.1045, -88.21922)"
21-000840,04/28/2021,2021,4,200 Block,West California Avenue,04/28/2021,Weeds/Grass,Voluntarily Complied,05/06/2021,Phone,false,0,"200 West California Avenue
Urbana, IL
(40.10841, -88.20902)"
311036,11/21/2003,2003,11,400 BLOCK,E Elm St,,Weeds/Grass,City Abated,,Not Available,false,0,"400 E Elm St
Urbana, IL
(40.11173, -88.20355)"
22-002701,08/23/2022,2022,8,700 Block,West Nevada Street,08/23/2022,Municipal Waste,City Abated,10/04/2022,Phone,false,840,"700 West Nevada Street
Urbana, IL
(40.10652, -88.21617)"
23-001582,05/31/2023,2023,5,300 Block,West Locust Street,05/31/2023,Municipal Waste,Voluntarily Complied,06/08/2023,Phone,false,0,"300 West Locust Street
Urbana, IL
(40.11353, -88.21033)"
705064,05/14/2007,2007,5,400 BLOCK,W Green St,05/15/2007,Municipal Waste,City Abated,05/23/2007,Not Available,false,0,"400 W Green St
Urbana, IL
(40.11071, -88.21196)"
703029,03/20/2007,2007,3,700 BLOCK,E Main St,03/20/2007,Municipal Waste,Owner Abated,03/28/2007,Not Available,false,0,"700 E Main St
Urbana, IL
(40.11289, -88.20131)"
506099,06/30/2005,2005,6,400 BLOCK,S Webber St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"400 S Webber St
Urbana, IL
(40.10991, -88.19911)"
23-001636,06/05/2023,2023,6,600 Block,South Busey Avenue,06/05/2023,Weeds/Grass,Voluntarily Complied,06/13/2023,Phone,false,0,"600 South Busey Avenue
Urbana, IL
(40.10814, -88.21769)"
22-000670,03/29/2022,2022,3,2300 Block,"East ""Lantern Hill"" Drive",03/29/2022,Municipal Waste,Voluntarily Complied,04/06/2022,Phone,false,0,"2300 East Lantern Hill Drive
Urbana, IL
(40.10477, -88.17795)"
22-000577,03/17/2022,2022,3,1200 Block,East Pennsylvania Avenue,,,Referred to other department,03/18/2022,Internet,true,0,"1200 East Pennsylvania Avenue
Urbana, IL
(40.0998, -88.1936)"
1105062,05/16/2011,2011,5,2700 BLOCK,E Florida Av,05/17/2011,Weeds/Grass,Owner Abated,05/25/2011,Not Available,false,0,"2700 E Florida Av
Urbana, IL
(40.09848, -88.17244)"
18-000036,01/24/2018,2018,1,200 Block,S Hartle Avenue,01/24/2018,Municipal Waste,Voluntarily Complied,10/31/2018,Email,false,0,"200 S Hartle Avenue
Urbana, IL
(40.11115, -88.19218)"
20-001614,08/18/2020,2020,8,1600 Block,"South ""Cottage Grove"" Avenue",08/18/2020,Weeds/Grass,Voluntarily Complied,08/26/2020,Phone,false,0,"1600 South Cottage Grove Avenue
Urbana, IL
(40.09908, -88.19555)"
18-036246,10/26/2018,2018,10,800 Block,East Park Street,,Weeds/Grass,City Abated,12/17/2018,City Staff Reported,false,721.5,"800 East Park Street
Urbana, IL
(40.11724, -88.19881)"
